,timestamp,accX,accY,accZ,username
0,1573459478125,4.890000,-14.219000,-1.278000,t2leva
1,1573459478190,1.135000,-12.959000,3.213000,t2leva
2,1573459478256,3.860000,-9.460000,-1.624000,t2leva
3,1573459478322,1.128000,-8.012000,0.250000,t2leva
4,1573459478388,1.183000,-6.798000,-3.739000,t2leva
5,1573459478454,3.108000,-7.888000,4.272000,t2leva
6,1573459478519,5.308000,-7.703000,1.881000,t2leva
7,1573459478585,-0.378000,-9.743000,0.409000,t2leva
8,1573459478651,2.284000,-17.127001,2.511000,t2leva
9,1573459478718,3.073000,-19.327000,0.164000,t2leva
10,1573459478784,-2.078000,-9.849000,1.113000,t2leva
11,1573459478850,-3.161000,-9.490000,-2.109000,t2leva
12,1573459478916,3.386000,-6.675000,-1.645000,t2leva
13,1573459478982,-8.819000,-6.990000,-0.718000,t2leva
14,1573459479047,1.091000,-7.695000,9.217000,t2leva
15,1573459479114,8.370000,-15.147000,4.516000,t2leva
16,1573459479180,-4.498000,-12.236000,0.503000,t2leva
17,1573459479247,-5.862000,-7.166000,4.052000,t2leva
18,1573459479312,-0.418000,-8.311000,-3.040000,t2leva
19,1573459479377,0.497000,-7.866000,-2.717000,t2leva
20,1573459479444,1.904000,-7.051000,-4.466000,t2leva
21,1573459479509,0.672000,-9.396000,6.280000,t2leva
22,1573459479576,4.529000,-9.084000,-1.931000,t2leva
23,1573459479642,5.455000,-11.179000,-1.020000,t2leva
24,1573459479707,2.626000,-11.150000,12.985000,t2leva
25,1573459479774,4.757000,-11.384000,-0.723000,t2leva
26,1573459479840,-3.172000,-19.600000,-5.177000,t2leva
27,1573459479906,-1.873000,-7.473000,-2.450000,t2leva
28,1573459479972,2.245000,-7.621000,3.182000,t2leva
29,1573459480037,-8.674000,-6.214000,-2.395000,t2leva
30,1573459480104,13.681000,-7.262000,-6.870000,t2leva
31,1573459480170,8.811000,-8.110000,-0.355000,t2leva
32,1573459480236,5.164000,-19.600000,10.180000,t2leva
33,1573459480302,-6.188000,-7.522000,-2.759000,t2leva
34,1573459480368,1.255000,-10.911000,-2.263000,t2leva
35,1573459480434,0.983000,-7.236000,-3.866000,t2leva
36,1573459480500,2.069000,-8.890000,-2.364000,t2leva
37,1573459480566,1.107000,-8.792000,-7.344000,t2leva
