,timestamp,accX,accY,accZ,username
0,1573319407366,0.534000,-9.954000,0.270000,tilendoma
1,1573319407432,-2.397000,-11.473000,-0.218000,tilendoma
2,1573319407498,-3.546000,-11.289000,2.039000,tilendoma
3,1573319407566,-1.349000,-11.450000,4.955000,tilendoma
4,1573319407631,1.917000,-8.478000,1.097000,tilendoma
5,1573319407696,-0.253000,-13.165000,0.714000,tilendoma
6,1573319407763,-4.532000,-10.427000,-0.558000,tilendoma
7,1573319407829,-1.005000,-8.119000,0.638000,tilendoma
8,1573319407895,0.353000,-6.826000,0.224000,tilendoma
9,1573319407961,1.828000,-7.225000,0.283000,tilendoma
10,1573319408026,-2.988000,-10.071000,3.149000,tilendoma
11,1573319408092,-7.738000,-11.593000,6.039000,tilendoma
12,1573319408159,-3.038000,-12.861000,-3.472000,tilendoma
13,1573319408225,0.355000,-8.108000,2.852000,tilendoma
14,1573319408291,-1.055000,-8.342000,-2.326000,tilendoma
15,1573319408356,-0.445000,-9.156000,3.278000,tilendoma
16,1573319408422,0.059000,-9.961000,1.041000,tilendoma
17,1573319408488,-1.113000,-8.740000,-2.296000,tilendoma
18,1573319408555,-0.818000,-10.482000,0.832000,tilendoma
19,1573319408621,-0.727000,-9.689000,1.413000,tilendoma
20,1573319408687,-4.689000,-9.685000,0.425000,tilendoma
21,1573319408753,-7.982000,-12.148000,0.438000,tilendoma
22,1573319408818,1.591000,-10.727000,4.111000,tilendoma
23,1573319408885,3.383000,-15.751000,-3.323000,tilendoma
24,1573319408951,-1.850000,-9.425000,-0.396000,tilendoma
25,1573319409017,-1.104000,-8.059000,-1.273000,tilendoma
26,1573319409083,0.394000,-7.649000,-0.393000,tilendoma
27,1573319409148,3.587000,-5.836000,0.665000,tilendoma
28,1573319409216,-0.404000,-9.760000,1.722000,tilendoma
29,1573319409281,-10.672000,-12.894000,5.631000,tilendoma
30,1573319409349,-2.578000,-14.978000,-2.258000,tilendoma
