,timestamp,accX,accY,accZ,username
0,1573459267055,-1.266000,0.750000,7.284000,t2
1,1573459267121,1.296000,-0.176000,11.122000,t2
2,1573459267187,0.873000,-0.637000,12.645000,t2
3,1573459267253,2.355000,-2.867000,11.082000,t2
4,1573459267319,-0.696000,-2.413000,10.237000,t2
5,1573459267386,1.535000,-0.561000,12.104000,t2
6,1573459267451,4.621000,-1.157000,5.724000,t2
7,1573459267518,0.805000,-1.672000,11.010000,t2
8,1573459267583,1.781000,-0.720000,9.426000,t2
9,1573459267651,2.138000,-1.021000,11.706000,t2
10,1573459267715,1.272000,-1.337000,12.795000,t2
11,1573459267781,2.016000,-3.744000,12.742000,t2
12,1573459267847,1.104000,-2.891000,10.090000,t2
13,1573459267914,1.645000,-1.371000,8.085000,t2
14,1573459267979,0.610000,-0.479000,7.770000,t2
15,1573459268045,1.081000,-0.509000,8.842000,t2
16,1573459268111,1.182000,0.233000,8.342000,t2
17,1573459268177,-0.041000,-0.427000,10.632000,t2
18,1573459268245,0.136000,-0.725000,12.215000,t2
19,1573459268309,0.984000,-1.991000,12.653000,t2
20,1573459268375,0.366000,-0.423000,10.290000,t2
21,1573459268442,0.302000,-0.056000,8.538000,t2
22,1573459268508,1.276000,0.756000,7.461000,t2
23,1573459268574,1.643000,0.623000,9.052000,t2
24,1573459268640,1.911000,0.895000,9.644000,t2
25,1573459268705,1.052000,1.970000,8.560000,t2
26,1573459268772,0.256000,1.664000,12.712000,t2
27,1573459268837,0.988000,-0.319000,10.313000,t2
28,1573459268903,0.734000,-0.622000,11.276000,t2
29,1573459268970,0.555000,0.987000,7.764000,t2
30,1573459269036,-1.269000,2.212000,8.863000,t2
31,1573459269102,-2.934000,3.572000,6.958000,t2
32,1573459269168,-2.539000,4.534000,5.574000,t2
33,1573459269234,-3.707000,4.167000,6.766000,t2
34,1573459269300,-3.727000,6.761000,8.616000,t2
35,1573459269366,-5.552000,3.585000,9.953000,t2
36,1573459269433,-5.267000,1.616000,9.853000,t2
37,1573459269498,-3.980000,2.259000,7.075000,t2
38,1573459269563,-1.503000,1.960000,7.806000,t2
39,1573459269629,-0.768000,2.135000,8.418000,t2
40,1573459269695,-2.098000,2.837000,9.667000,t2
41,1573459269761,-2.531000,2.486000,8.658000,t2
42,1573459269828,-2.451000,3.079000,12.336000,t2
43,1573459269894,-0.485000,0.921000,11.565000,t2
44,1573459269961,-3.254000,0.249000,11.369000,t2
45,1573459270027,-3.697000,1.707000,9.314000,t2
46,1573459270092,-2.740000,2.796000,7.510000,t2
47,1573459270157,-1.386000,3.392000,7.491000,t2
48,1573459270223,-2.271000,3.551000,8.033000,t2
49,1573459270289,-4.901000,3.832000,12.032000,t2
50,1573459270356,-3.290000,3.678000,11.509000,t2
51,1573459270423,-2.781000,0.861000,11.085000,t2
52,1573459270488,-0.710000,-2.029000,7.316000,t2
53,1573459270555,-1.048000,-5.045000,3.543000,t2
54,1573459270619,-1.963000,-6.302000,4.475000,t2
55,1573459270686,-6.253000,-8.092000,4.286000,t2
